500 1.55611e-07
1000 1.77245e-07
1500 1.79403e-07
2000 1.94247e-07
2500 2.07114e-07
3000 2.09707e-07
3500 2.20637e-07
4000 2.27311e-07
4500 2.31475e-07
5000 2.35588e-07
